timestamp,open,high,low,close,adjusted_close,volume,forecast_high_5
9/5/2017,39.28,40.16,39.25,39.83,39.5105,16722069,41.51
9/1/2017,38.99,39.3,38.81,38.9,38.588,5196546,40.77
8/31/2017,38.9,39.15,38.6,38.97,38.4794,7241522,41.26
8/30/2017,38.61,39.041,38.38,38.67,38.1832,4470890,41.42
8/29/2017,38.66,38.79,38.34,38.72,38.2325,5088245,41.19
8/28/2017,39.07,39.18,38.28,38.79,38.3016,7216003,40.16
8/25/2017,38.93,39.3709,38.84,39.01,38.5189,6057775,39.3
8/24/2017,38.97,39,38.565,38.79,38.3016,7331559,39.15
8/23/2017,38.56,39.28,38.52,39.03,38.5386,4583983,39.041
8/22/2017,38.86,39.03,38.65,38.66,38.1733,6001004,38.79
8/21/2017,38.93,38.99,38.55,38.74,38.2523,5010818,39.18
8/18/2017,38.66,39.45,38.181,38.99,38.4991,8494012,39.3709
8/17/2017,39.2,39.36,38.55,38.69,38.2029,8055293,39
8/16/2017,39.69,39.96,39.13,39.32,38.825,6467601,39.28
8/15/2017,39.83,39.9,39.25,39.55,39.0521,7579564,39.03
8/14/2017,40.05,40.2,39.75,39.91,39.4075,7180282,38.99
8/11/2017,40.3,40.74,40,40.02,39.5162,5436673,39.45
8/10/2017,41.32,41.33,40.36,40.51,40,7019870,39.36
8/9/2017,41.18,41.38,40.75,41.29,40.7702,6385436,39.96
8/8/2017,41.2,41.83,40.71,41.03,40.5134,9174548,39.9
8/7/2017,41.77,41.86,41.0837,41.45,40.9282,7460069,40.2
8/4/2017,42,42.11,41.55,41.99,41.4614,6515661,40.74
8/3/2017,42.77,42.85,41.76,42.03,41.5009,7883703,41.33
8/2/2017,42.13,42.95,41.81,42.85,42.3105,9219684,41.38
8/1/2017,42.5,42.565,41.68,42.45,41.9156,13249959,41.83
7/31/2017,42.82,42.9,42.16,42.44,41.9057,7871354,41.86
7/28/2017,42.77,44,42.7099,42.93,42.3895,8822968,42.11
7/27/2017,43.5,44.39,42.54,43.09,42.5475,10383587,42.85
