timestamp,open,high,low,close,adjusted close,volume,dividend amount
1/31/2013,27.25,28.23,26.28,27.45,24.0456,1145054400,0
12/31/2012,26.78,27.73,26.26,26.7097,23.3971,947310900,0
11/30/2012,28.84,30.2,26.3449,26.615,23.3141,1310516100,0.23
10/31/2012,29.81,30.25,27.76,28.54,24.7899,1105402300,0
9/28/2012,30.45,31.61,29.74,29.76,25.8496,893107700,0
8/31/2012,29.59,30.96,28.97,30.82,26.7703,671748400,0.2
7/31/2012,30.62,31.05,28.54,29.47,25.4289,846604100,0
6/29/2012,28.76,31.14,28.32,30.59,26.3953,973131400,0
5/31/2012,32.05,32.335,28.64,29.19,25.1873,1014372600,0.2
4/30/2012,32.22,32.89,30.23,32.015,27.4432,940739700,0
3/30/2012,31.93,32.95,31.49,32.255,27.649,942366500,0
2/29/2012,29.79,32,29.71,31.74,27.2075,984332300,0.2
1/31/2012,26.55,29.95,26.39,29.53,25.1468,1354858100,0
12/30/2011,25.56,26.19,25.16,25.96,22.1067,1007166600,0
11/30/2011,26.19,27.2,24.3,25.58,21.7831,1046207400,0.2
10/31/2011,24.72,27.5,24.26,26.63,22.5089,1218142500,0
9/30/2011,26.46,27.5,24.6,24.89,21.0382,1279920200,0
8/31/2011,27.51,27.685,23.79,26.6,22.4836,1719339500,0.16
7/29/2011,25.93,28.145,25.84,27.4,23.0145,1259328200,0
6/30/2011,24.99,26,23.65,26,21.8386,1297757600,0
5/31/2011,25.94,26.25,24.03,25.01,21.007,1364062800,0.16
4/29/2011,25.53,26.87,24.72,25.92,21.6303,1313844800,0
3/31/2011,26.6,26.78,24.68,25.39,21.188,1310885200,0
2/28/2011,27.8,28.34,26.43,26.58,22.181,1114368500,0.16
1/31/2011,28.05,29.46,27.42,27.725,23,1361258700,0
12/31/2010,25.57,28.4,25.56,27.91,23.1535,1033710000,0
11/30/2010,26.88,27.49,24.93,25.2575,20.953,1361176300,0.16
10/29/2010,24.49,27.2,23.78,26.665,21.9844,1281432800,0
9/30/2010,23.67,25.53,23.54,24.49,20.1912,1273139500,0
8/31/2010,25.99,26.38,23.32,23.465,19.3461,1279372100,0.13
7/30/2010,23.09,26.41,22.73,25.81,21.1681,1408590600,0
6/30/2010,25.53,26.93,22.95,23.01,18.8717,1671811600,0
5/28/2010,30.67,31.0606,24.56,25.8,21.1599,1720130200,0.13
4/30/2010,29.35,31.58,28.62,30.535,24.93,1319029500,0
3/31/2010,28.77,30.57,28.24,29.2875,23.9115,1110237200,0
2/26/2010,28.39,29.03,27.57,28.67,23.4073,1074643300,0.13
1/29/2010,30.62,31.24,27.66,28.18,22.9023,1359650900,0
12/31/2009,29.52,31.5,29.25,30.48,24.7715,920605500,0
11/30/2009,27.7,30.14,27.41,29.41,23.9019,1018256700,0.13
10/30/2009,25.405,29.35,24.43,27.73,22.4393,1523430100,0
9/30/2009,24.35,26.25,23.76,25.72,20.8128,1038979700,0
8/31/2009,23.82,25.49,23.03,24.65,19.9469,993250400,0.13
7/31/2009,24.05,25.72,22,23.52,18.9282,1517459800,0
6/30/2009,21,24.34,20.86,23.77,19.1294,1411144700,0
5/29/2009,20.19,20.94,19.01,20.89,16.8116,1101122400,0.13
4/30/2009,18.23,21.2,18.18,20.26,16.2009,1562400700,0
3/31/2009,16.035,18.88,14.87,18.37,14.6896,1625752800,0
2/27/2009,17.01,19.93,16.1,16.15,12.9144,1456213400,0.13
1/30/2009,19.5328,21,16.75,17.1,13.5765,1564043400,0
12/31/2008,19.875,21.25,18.47,19.44,15.4343,1546943400,0
11/28/2008,22.48,23.66,17.5,20.22,16.0536,1794911800,0.13
10/31/2008,26.38,27.47,20.65,22.33,17.6121,3044579400,0
9/30/2008,27.665,27.76,23.5,26.69,21.0509,1927538700,0
8/29/2008,25.95,28.5,25.07,27.29,21.5242,1206949700,0.11
7/31/2008,27.22,27.91,24.87,25.72,20.2045,1579425446,0
6/30/2008,28.24,29.57,27.11,27.51,21.6107,1560439100,0
5/30/2008,28.48,30.53,27.95,28.32,22.247,1405170200,0.11
4/30/2008,28.83,32.1,27.93,28.52,22.3216,1444720000,0
3/31/2008,27.24,29.59,26.87,28.38,22.2121,1452390200,0
2/29/2008,31.06,33.25,27.02,27.1999,21.2884,2324580800,0.11
1/31/2008,35.79,35.96,31.04,32.6,25.4157,1950301600,0
12/31/2007,33.5,36.72,32.63,35.6,27.7545,1064817100,0
11/30/2007,36.53,37.5,32.68,33.6,26.1953,1830846800,0.11
10/31/2007,29.46,37,29.29,36.81,28.6066,1772076700,0
9/28/2007,28.5,29.85,28.27,29.46,22.8946,1117419500,0
8/31/2007,28.97,30.1,27.51,28.73,22.3273,1228579500,0.1
7/31/2007,29.67,31.84,28.95,28.99,22.4499,1295548000,0
6/29/2007,30.79,30.9,29.04,29.47,22.8216,1181412800,0
5/31/2007,29.94,31.16,29.9,30.6901,23.7665,1327154700,0.1
4/30/2007,27.89,30.74,27.56,29.94,23.1108,958964900,0
3/30/2007,27.82,28.55,26.6,27.87,21.513,1269506500,0
2/28/2007,30.84,30.94,27.79,28.17,21.7445,1290850900,0.1
1/31/2007,29.91,31.48,29.4,30.86,23.7391,1324518200,0
12/29/2006,29.23,30.26,28.8,29.86,22.9699,1137160900,0
11/30/2006,28.78,30.0001,28.58,29.36,22.5852,1239142000,0.1
10/31/2006,27.32,28.8501,27.15,28.71,22.0099,1290967400,0
9/29/2006,25.89,27.52,25.39,27.35,20.9673,1097482600,0
8/31/2006,24.02,26.2501,23.85,25.7,19.7024,1134188400,0.09
7/31/2006,23.53,24.6,22.23,24.06,18.3779,1332298100,0
6/30/2006,22.74,23.65,21.4599,23.3,17.7974,1971637200,0
5/31/2006,24.33,25,22.45,22.65,17.3009,2309193400,0.09
4/28/2006,27.67,27.941,24,24.15,18.3752,1446126900,0
3/31/2006,26.99,28.22,26.62,27.21,20.7035,1437940900,0
2/28/2006,27.95,28.07,26.34,26.87,20.4448,1047699000,0.09
1/31/2006,26.25,28.38,26.1,28.15,21.3473,1388622700,0
12/30/2005,27.73,28.101,26.1,26.15,19.8306,1271695500,0
11/30/2005,25.61,28.25,25.61,27.68,20.9908,1444948300,0.08
10/31/2005,25.71,25.8,24.25,25.7,19.4328,1439659900,0
9/30/2005,27.38,27.39,25.12,25.73,19.4555,1348861500,0
8/31/2005,25.82,27.94,25.76,27.38,20.7031,1441979300,0.08
7/29/2005,24.85,26.48,24.5,25.61,19.3078,1321407700,0
6/30/2005,25.73,26,24.82,24.84,18.7273,1303029500,0
5/31/2005,25.23,26.09,24.31,25.8,19.4511,1270563700,0.08
4/29/2005,24.24,25.45,23.94,25.3,19.0144,1520253700,0
3/31/2005,25.2,25.79,23.82,24.17,18.1652,1541411300,0
2/28/2005,26.25,26.5,25.1296,25.16,18.9092,1361126000,0.08
1/31/2005,26.8,27.1,25.64,26.28,19.6902,1521414300,0
12/31/2004,26.95,27.44,26.679,26.72,20.0199,1803777700,0
11/30/2004,28.15,30.2,24.86,26.81,20.0873,1739407300,3.08
10/29/2004,27.81,28.89,27.42,27.97,18.8381,1300591200,0
9/30/2004,27.24,27.79,26.74,27.65,18.6226,1141012300,0
8/31/2004,28.27,28.55,25.95,27.3,18.3868,1094195300,0.08
7/30/2004,28.69,29.89,27.25,28.49,19.1321,1550446900,0
6/30/2004,26.12,28.8,25.86,28.56,19.1791,1534889700,0
5/28/2004,26.21,26.6,25.42,26.23,17.6144,1141456900,0
4/30/2004,24.95,27.72,24.85,26.13,17.5473,1558947800,0
3/31/2004,26.65,26.72,24.01,24.93,16.7414,1703041000,0
2/27/2004,27.63,27.8,26.35,26.53,17.8159,1032065600,0
1/30/2004,27.58,28.83,27.26,27.65,18.568,1232189000,0
12/31/2003,25.9,27.55,25.5,27.37,18.38,1476461300,0
11/28/2003,26.35,26.75,24.84,25.71,17.2652,1442336700,0
10/31/2003,28.03,29.46,25.91,26.14,17.554,1400032500,0.16
9/30/2003,26.7,30,26.47,27.8,18.5666,1253309100,0
8/29/2003,26.33,26.95,25.43,26.52,17.7117,966506900,0
7/31/2003,25.59,27.81,25.39,26.41,17.6382,1292011000,0
6/30/2003,24.98,26.51,23.6,25.64,17.124,1569995800,0
5/30/2003,25.54,26.5,23.89,24.61,16.4361,1311003700,0
4/30/2003,24.46,26.43,23.95,25.57,17.0772,1249617700,0
3/31/2003,24.02,26.8,22.55,24.21,16.1689,1371902600,0
2/28/2003,47.93,49.1,23.3,23.7,15.8283,910628150,0.08
1/31/2003,52.3,57.32,47.03,47.46,15.7969,859331100,0
12/31/2002,58.65,58.96,51.26,51.7,17.2081,634185100,0
11/29/2002,52.43,58.64,51.9,57.68,19.1985,777998600,0
10/31/2002,44.32,54.07,43.19,53.47,17.7973,1237685300,0
9/30/2002,48.52,51.1,43.11,43.74,14.5587,847852900,0
8/30/2002,47.58,53.45,43.8,49.08,16.3361,857878600,0
7/31/2002,54.12,54.93,41.41,47.98,15.9699,1216094000,0
6/28/2002,50.99,56.44,49.17,54.7,18.2067,917036500,0
5/31/2002,52.16,56.44,48.35,50.91,16.9452,710133100,0
4/30/2002,59.83,60.4,51.44,52.26,17.3945,708739700,0
3/28/2002,59.05,65,58.31,60.31,20.0739,536622100,0
2/28/2002,64.15,64.5,57.15,58.34,19.4182,565579600,0
1/31/2002,66.65,70.62,61.33,63.71,21.2056,680057900,0
12/31/2001,63.83,69.89,63.8,66.25,22.051,488544500,0
11/30/2001,60.08,68.34,59.6,64.21,21.372,665484300,0
10/31/2001,50.94,63.63,50.41,58.15,19.355,875445500,0
9/28/2001,57.19,59.08,47.5,51.17,17.0317,755412200,0
8/31/2001,66.8,67.54,56.3,57.05,18.9888,576948200,0
7/31/2001,72.05,73.15,64.2,66.19,22.0311,727600500,0
6/29/2001,69.6,76.15,66.01,73,24.2977,724588900,0
5/31/2001,67.66,72.15,67.25,69.18,23.0263,888652900,0
4/30/2001,54.81,71.1,51.06,67.75,22.5503,1037903500,0
3/30/2001,58.56,61.13,49.75,54.69,18.2033,947674900,0
2/28/2001,60.81,65.06,53.88,59,19.6379,768447800,0
1/31/2001,44.13,64.75,42.88,61.06,20.3236,1002765600,0
12/29/2000,58.06,60.63,40.31,43.38,14.4388,1028334100,0
11/30/2000,68.5,72.37,57,57.38,19.0987,991731300,0
10/31/2000,60.5,70.12,48.44,68.87,22.9231,1234707800,0
9/29/2000,70,72.06,58.63,60.31,20.0739,712766900,0
8/31/2000,69.94,74.87,68.12,69.81,23.236,609699900,0
7/31/2000,79.69,82.87,67.25,69.81,23.236,617092900,0
6/30/2000,64.37,82.19,63.81,80,26.6276,733525100,0
5/31/2000,72.87,74,60.38,62.56,20.8228,672215400,0
4/28/2000,94.44,96.5,65,69.75,23.216,1129073300,0
3/31/2000,89.62,115,88.94,106.25,35.3648,1014093800,0
2/29/2000,98.5,110,88.12,89.37,29.7464,667243800,0
